序号,AO号,类型,专业编码,工种,紧前工序AO号,需求人数,加工时间/h,限定站位,部位容量
482,ABZYC4-0600,2,B,2,,2,1.8,,
483,ABYYC4-0610,2,B,2,,2,1.94,,
484,ABZYC4-0620,2,B,2,,2,2.05,,
485,ABYYC5-0630,2,B,2,,2,5.68,,
486,ABZYC5-0640,2,B,2,,2,4.51,,
487,ABZYC5-0660,2,B,2,,2,2.43,,
488,ABYYE5-0670,2,B,2,,2,3.8,,
489,ABZYE5-0680,2,B,2,,2,4.66,,
490,ABYYE5-0690,2,B,2,,2,1.86,,
491,ABZYE5-0700,2,B,2,,2,1.84,,
492,B-14,1,,-1,,0,0.0,,
493,BQQJ00-0180,2,Q,2,,2,2.08,,2
494,BQQXA1-0190,2,Q,2,,2,1.89,,4
495,BQQSA1-0210,2,Q,2,,2,1.6,,6
496,BQQXA2-0240,2,Q,2,,2,2.65,,4
497,BQZGB1-0250,2,Q,2,,2,3.01,,
498,RQND-N20440-38,2,Q,2,BQZGB1-0250,2,4.47,,
499,BQZGB1-0260,2,Q,2,RQND-N20440-38,2,2.07,,
500,BQWCD1-0290,2,Q,2,,2,1.45,,4
501,B-15,1,,-1,,0,0.0,,
502,BEQX00-0180,2,E,4,,2,7.02,,4
503,BEQX00-0190,2,E,4,,2,3.73,,4
504,BEQXF2-0200,2,E,4,,2,1.18,,4
505,BEHX00-0210,2,E,4,,2,3.52,,4
506,BEHS00-0220,2,E,4,,2,4.05,,
507,B-16,1,,-1,,0,0.0,,
508,DEQJ00-0340,2,E,4,,2,1.51,,
509,DEQJ00-0350,2,E,4,,2,1.81,,
510,CEQX00-0380,2,E,4,,2,3.49,,4
511,CEQX00-0390,2,E,4,,2,2.54,,4
512,CEQS00-0391,2,E,4,,2,1.1,,6
513,CEQS00-0392,2,E,4,,2,1.17,,6
514,CEQX00-0400,2,E,4,,2,2.88,,4
515,CEHS00-0410,2,E,4,,2,1.81,,
516,CEHS00-0420,2,E,4,,2,1.88,,
517,CEHS00-0440,2,E,4,,2,2.54,,
518,CEHS00-0450,2,E,4,,2,1.64,,
519,CEWC00-0460,2,E,4,,2,1.08,,4
520,CEQJE1-0470,2,E,4,,2,1.18,,
521,CEZY00-0500,2,E,4,,2,3.46,,
522,CEYE00-0510,2,E,4,,2,2.21,,
523,CEQJ00-0525,2,E,4,,1,0.86,,
524,CEQJ00-0540,2,E,4,,2,1.53,,
525,CEQJ00-0550,2,E,4,,2,0.88,,
526,CEHX00-0560,2,E,4,,2,0.45,,4
527,CEZY00-0570,2,E,4,,2,1.35,,
528,CEYY00-0580,2,E,4,,2,1.66,,
529,CEHSE1-0590,2,E,4,,2,2.44,,
530,CEZGE1-0600,2,E,4,,2,2.41,,
531,B-17,1,,-1,B-16,0,0.0,,
532,CEQS00-0610,2,E,4,,2,3.03,,6
533,ABQS00-2130,2,B,2,,2,2.11,,6
534,CEQS00-0630,2,E,4,ABQS00-2130,2,1.36,,6
535,CEQX00-0640,2,E,4,,2,4.05,,4
536,CEHX00-0660,2,E,4,,2,2.01,,4
537,CEHS00-0670,2,E,4,,2,2.4,,
538,CEHS00-0680,2,E,4,,2,1.6,,
539,CEHS00-0690,2,E,4,,2,1.88,,
540,CEHS00-0700,2,E,4,,2,2.23,,
541,CEWC00-0710,2,E,4,,2,1.3,,4
542,CEQJ00-0720,2,E,4,,2,1.0,,
543,CEQJ00-0730,2,E,4,,2,0.95,,
544,CEHX00-0740,2,E,4,,2,0.75,,4
545,CEHS00-0750,2,E,4,,2,1.95,,
546,CEZG00-0760,2,E,4,,2,2.56,,
547,CEWB00-0780,2,E,4,,2,1.53,,
548,CEZY00-0790,2,E,4,,2,1.24,,
549,CEYY00-0800,2,E,4,,2,1.7,,
550,CEZY00-0810,2,E,4,,2,1.71,,
551,CEYY00-0820,2,E,4,,2,1.47,,
552,CEZY00-0830,2,E,4,,2,1.32,,
553,CEYY00-0840,2,E,4,,2,1.96,,
554,B-18,1,,-1,,0,0.0,,
555,CXQS00-0250,2,X,2,,2,30.15,,6
556,CXQS00-0260,2,X,2,,2,21.47,,6
557,CXQX00-0270,2,X,2,,2,26.65,,4
558,CXHD00-0280,2,X,2,,2,22.52,,
559,CXHX00-0300,2,X,2,,2,24.03,,4
560,CXHD00-0310,2,X,2,,2,31.37,,
561,CXHS00-0320,2,X,2,,2,28.65,,
562,CXHX00-0330,2,X,2,,2,41.0,,4
563,B-19,1,,-1,B-18,0,0.0,,
564,CXHS00-0240,2,X,2,,2,9.05,,
565,CXQS00-0350,2,X,2,,2,21.38,,6
566,CXQS00-0360,2,X,2,,2,17.67,,6
567,CXQX00-0370,2,X,2,,2,52.62,,4
568,CXHS00-0390,2,X,2,,2,46.07,,
569,CXHX00-0400,2,X,2,,2,47.55,,4
570,CXHD00-0410,2,X,2,,2,42.68,,
571,CXHX00-0430,2,X,2,,2,34.19,,4
572,CXQJ00-0450,2,X,2,,2,32.27,,
573,CXQJA2-1770,2,X,2,,2,12.79,,
574,CXQJA2-1780,2,X,2,,2,11.64,,
575,CXQJA2-1790,2,X,2,,2,13.98,,
576,CXQJA2-1800,2,X,2,,2,15.53,,
577,CXQJA2-1810,2,X,2,,2,11.21,,
578,B-20,1,,-1,,0,0.0,,
579,EGWBF1-0250,2,G,0,,2,4.6,,
580,EGHSF3-0270,2,G,0,,2,5.9,,
581,EGHSF4-0280,2,G,0,,2,5.21,,
582,EGHSF5-0290,2,G,0,EGHSF3-0270,2,6.61,,
583,RGND-N4248-7,2,G,0,EGHSF4-0280,1,5.84,,
584,EGWCF6-0300,2,G,0,RGND-N4248-7,2,6.82,,4
585,RGND-N62673-21,2,G,0,EGWCF6-0300,1,6.18,,
586,EGWCF7-0310,2,G,0,RGND-N62673-21,2,5.47,,4
587,RGND-N21086-60,2,G,0,RGND-N15651-54,2,7.94,,
588,RGND-N15651-54,2,G,0,RGND-N23660-47,2,10.05,,
589,RGND-N23660-47,2,G,0,RGND-N31665-28,2,8.92,,
590,RGND-N31665-28,2,G,0,EGWCF7-0310,1,6.75,,
591,EGWCF8-0320,2,G,0,RGND-N21086-60,2,5.67,,4
592,EGWCF9-0330,2,G,0,EGWCF7-0310,2,5.7,,4
593,B-21,1,,-1,,0,0.0,,
594,RRND-N33437-32,2,R,1,FRQJD1-1770,2,2.54,,
595,FRQJ00-1740,2,R,1,RRND-N33437-32,2,1.33,,
596,FRQJ00-1760,2,R,1,FRQJD1-1770,2,0.98,,
597,FRQJD1-1770,2,R,1,,2,2.21,,
598,ARWBD1-1780,2,R,1,FRQJD1-1770,2,0.6,,
599,ARWBD1-1790,2,R,1,FRQJ00-1740,2,1.47,,
600,ARWBD1-1800,2,R,1,FRQJD1-1770,2,0.54,,
601,ARWBD1-1810,2,R,1,ARWBD1-1800,2,1.29,,
602,ARWBD1-1820,2,R,1,,2,1.06,,
603,B-22,1,,-1,B-21,0,0.0,,
604,BRZYA1-0170,2,R,1,,2,0.87,,
605,BRZYA1-0180,2,R,1,,2,1.03,,
606,BRYYA1-0190,2,R,1,,2,1.06,,
607,BRYYA1-0200,2,R,1,,2,1.03,,
608,BRZYB1-0210,2,R,1,,2,2.32,,
609,BRYYB1-0230,2,R,1,,2,1.75,,
610,BRYYB1-0240,2,R,1,,2,1.6,,
611,BRZYC1-0250,2,R,1,,2,0.89,,
612,BRYYC1-0260,2,R,1,,2,1.15,,
613,BRYYD1-0280,2,R,1,,2,1.14,,
614,BRZYB1-0300,2,R,1,,2,1.14,,
615,BRYYB1-0310,2,R,1,,2,2.09,,
616,BRYYB1-0320,2,R,1,,2,1.27,,
617,BRZYF1-0410,2,R,1,,2,1.77,,
618,BRZYF1-0420,2,R,1,,2,51.69,,
619,BRYYF1-0430,2,R,1,,2,2.15,,
620,BRYYF1-0440,2,R,1,,2,56.1,,
621,BRZYF1-0450,2,R,1,,2,2.95,,
622,BRZYF1-0460,2,R,1,,2,2.22,,
623,BRYYF1-0470,2,R,1,,2,2.85,,
624,BRYYF1-0480,2,R,1,,2,1.67,,
625,BRHSF1-0700,2,R,1,,2,1.83,,
626,BRQJA1-0710,2,R,1,,2,1.17,,
627,BRQJA1-0720,2,R,1,,2,2.35,,
628,BRQJA1-0730,2,R,1,,2,0.61,,
629,BRQJA1-0740,2,R,1,,2,3.33,,
630,BRQJF1-0750,2,R,1,,2,1.91,,
631,BRQJF1-0760,2,R,1,,2,1.65,,
632,BRQJF1-0770,2,R,1,,2,1.72,,
633,BRQJF1-0780,2,R,1,,2,3.65,,
634,BRZYF1-0790,2,R,1,,2,1.33,,
635,BRZYF1-0800,2,R,1,,2,1.3,,
636,BRZYF1-0820,2,R,1,,2,0.74,,
637,BRZYF1-0840,2,R,1,,2,2.13,,
638,BRYYF1-0850,2,R,1,,2,0.95,,
639,BRYYF1-0860,2,R,1,,2,1.32,,
640,BRYYF1-0870,2,R,1,,2,1.38,,
641,BRYYF1-0885,2,R,1,,2,0.73,,
642,BRYYF1-0890,2,R,1,,2,0.88,,
643,BRYYF1-0900,2,R,1,,2,1.3,,
644,BRZYF1-0910,2,R,1,,2,1.88,,
645,BRZYF1-0920,2,R,1,,2,1.6,,
646,BRYYF1-0940,2,R,1,,2,1.29,,
647,BRQJF1-0955,2,R,1,,2,0.71,,
648,BRQJF1-0960,2,R,1,,2,0.95,,
649,BRQJB1-0980,2,R,1,,2,0.69,,
650,BRQJC1-0990,2,R,1,,2,41.83,,
651,BRQJC1-1000,2,R,1,,2,59.31,,
652,BRQJD1-1010,2,R,1,,2,1.09,,
653,BRQJ00-1020,2,R,1,,2,5.1,,
654,BRQJ00-1030,2,R,1,,2,2.95,,
655,BRWB00-1040,2,R,1,,2,0.93,,
656,BRWB00-1050,2,R,1,,2,0.94,,
657,BRQJC1-1070,2,R,1,,2,1.43,,
658,ABWB00-1890,2,B,2,,2,1.36,,
659,RBND-N99977-5,2,B,2,ABWB00-1890,2,1.67,,
660,BRHXC1-1130,2,R,1,RBND-N99977-5,2,2.87,,4
661,B-23,1,,-1,B-22,0,0.0,,
662,FRQJE1-0640,2,R,1,,2,2.45,,
663,FRQJE1-0650,2,R,1,,2,2.59,,
664,FRQJE1-0660,2,R,1,,2,2.99,,
665,FRQJE1-0670,2,R,1,,2,2.49,,
666,FRQJE1-0690,2,R,1,,2,1.54,,
667,B-24,1,,-1,B-23,0,0.0,,
668,FRQJE1-0330,2,R,1,,2,3.09,,
669,FRQJE1-0340,2,R,1,,2,2.33,,
670,FRQJE1-0350,2,R,1,,2,2.66,,
671,FRQJE1-0360,2,R,1,,2,2.31,,
672,FRQJE1-0380,2,R,1,,2,7.1,,
673,FRQJE1-0390,2,R,1,,2,1.56,,
674,FRQJE1-0400,2,R,1,,2,1.98,,
675,B-25,1,,-1,B-24,0,0.0,,
676,BRHSA1-0490,2,R,1,,2,2.76,,
677,BRHSA1-0510,2,R,1,,2,1.23,,
678,BRHSA1-0520,2,R,1,,2,1.15,,
679,BRWCA1-0530,2,R,1,,2,1.25,,4
680,BRWCA1-0540,2,R,1,,2,2.05,,4
681,BRWCA1-0560,2,R,1,,2,2.96,,4
682,BRWCG1-0580,2,R,1,,2,2.66,,4
683,BRHSG1-0590,2,R,1,,2,0.86,,
684,BRHSG1-0610,2,R,1,,2,0.91,,
685,BRHSC1-0620,2,R,1,,2,1.58,,
686,BRHSC1-0630,2,R,1,,2,62.27,,
687,BRHSC1-1080,2,R,1,,2,60.97,,
688,BRHSC1-1090,2,R,1,,2,42.75,,
689,BRHSC1-1100,2,R,1,,2,1.91,,
690,BRHSC1-1110,2,R,1,,2,54.69,,
691,BRHSC1-1120,2,R,1,,2,2.12,,
692,B-26,1,,-1,,0,0.0,,
693,CLQX00-0030,2,L,0,,2,7.63,,4
694,CLHX00-0040,2,L,0,,2,1.47,,4
695,CLWBA2-0050,2,L,0,,2,1.18,,
696,CLQX00-0380,2,L,0,,2,6.49,,4
697,CLHX00-0390,2,L,0,,2,6.59,,4
698,CLHX00-0620,2,L,0,CLHX00-0390,2,0.78,,4
699,CLHS00-0630,2,L,0,,2,7.17,,
700,CLQS00-0250,2,L,0,,2,3.25,,6
701,CLQX00-0260,2,L,0,,2,2.67,,4
702,CLHX00-0280,2,L,0,,2,2.31,,4
703,CLQS00-0290,2,L,0,,2,1.26,,6
704,CLHX00-0300,2,L,0,,2,2.65,,4
705,CLHX00-0310,2,L,0,,2,3.93,,4
706,CLHS00-0320,2,L,0,,2,4.64,,
707,CLHX00-0330,2,L,0,,2,4.89,,4
708,B-27,1,,-1,B-25,0,0.0,,
709,FJQJ00-0600,2,J,0,,2,0.67,,
710,FJQJ00-0610,2,J,0,,2,1.17,,
